Type,Name,Address,Rating,Total User Ratings,Place ID,Types,Latitude,Longitude
amusement_park,Casa Loma Escape Rooms,"1 Austin Terrace, Toronto",4.7,617,ChIJy584up00K4gRuJQeztNVwRQ,"tourist_attraction, amusement_park, point_of_interest, establishment",43.6780932,-79.4093817
amusement_park,Centreville Amusement Park,"84 Advance Road, Etobicoke",3.9,9,ChIJ6_xrSrY3K4gRFSNjwIuKX8c,"amusement_park, point_of_interest, establishment",43.6203544,-79.3735268
amusement_park,Sky Zone Trampoline Park,"45 Esandar Drive, Toronto",4.2,3341,ChIJqbbhcefM1IkRgfZEmuQ-LXU,"amusement_park, point_of_interest, establishment",43.70652370000001,-79.3569392
amusement_park,Centreville Amusement Park,"9 Queens Quay West, Toronto",4.4,5891,ChIJHfvjUSrL1IkRKR1Q--KUUi8,"amusement_park, tourist_attraction, park, point_of_interest, establishment",43.6202922,-79.3735438
amusement_park,Sunnybrook Park,"1132 Leslie Street, Toronto",4.7,2495,ChIJrZ_nzyTN1IkRGDI7K0ZHKpY,"park, amusement_park, point_of_interest, establishment",43.72432079999999,-79.3579026
amusement_park,Splash Pad,"5 The Mall, Toronto",4.2,5,ChIJO6Blm7bK1IkReixXfPDY4G8,"amusement_park, point_of_interest, establishment",43.6168734,-79.37431699999999
amusement_park,Shotgun Golf Indoor Range,"3240 Dufferin Street Unit 8, Toronto",4.9,55,ChIJIQIkIRIzK4gRVrrNJO3DMHU,"amusement_park, store, health, point_of_interest, establishment",43.71991149999999,-79.45695239999999
aquarium,Aquarium Service Toronto,"945 Weston Road, Toronto",4.8,61,ChIJs5b3cLI2K4gR-xWqvHEMxr8,"aquarium, pet_store, store, point_of_interest, establishment",43.6834059,-79.48128679999999
aquarium,Ripley's Aquarium of Canada,"288 Bremner Boulevard, Toronto",4.6,60314,ChIJWwS21dU0K4gRPSGMKRkar40,"aquarium, point_of_interest, establishment",43.6421785,-79.3866022
aquarium,Spring & Rain Gardens,"673 Gerrard Street East, Toronto",4.6,70,ChIJLV9dnmXL1IkRlyxNogLc8wk,"florist, aquarium, store, point_of_interest, establishment",43.6660152,-79.3495284
aquarium,Aquarium Toronto,"292 Bremner Boulevard, Toronto",4.5,179,ChIJF86awk81K4gR2kqDcwqPJqI,"aquarium, point_of_interest, establishment",43.64238,-79.38648769999999
